Date,Open_RSG,High_RSG,Low_RSG,Close_RSG,Volume_RSG,AdjClose_RSG
2015-06-05,39.900002,40.02,39.57,39.849998,1672700,38.781359
2015-06-08,39.790001,40.07,39.709999,39.959999,820700,38.88841
2015-06-09,39.919998,40.18,39.869999,40.029999,1399600,38.956532
2015-06-10,40.060001,40.610001,40.029999,40.48,1674700,39.394466
2015-06-11,40.540001,40.98,40.459999,40.68,1803400,39.589103
2015-06-12,40.639999,40.779999,40.34,40.43,1167500,39.345807
2015-06-15,40.23,40.470001,40.049999,40.220001,1595600,39.14144
2015-06-16,40.139999,40.43,40.119999,40.41,944400,39.326343
2015-06-17,40.43,40.529999,40.119999,40.43,982400,39.345807
2015-06-18,40.529999,40.75,40.48,40.59,1067700,39.501517
2015-06-19,40.509998,40.599998,40.310001,40.330002,1310400,39.24849
2015-06-22,40.470001,40.599998,40.34,40.389999,762400,39.306879
2015-06-23,40.349998,40.419998,40.049999,40.119999,847000,39.044119
2015-06-24,40.029999,40.16,39.830002,39.830002,898700,38.761899
2015-06-25,39.869999,39.900002,39.580002,39.650002,971000,38.586725
2015-06-26,39.68,39.939999,39.549999,39.919998,2032800,38.849482
2015-06-29,39.450001,39.57,38.990002,39.040001,1023800,38.261452
2015-06-30,39.310001,39.369999,39.009998,39.169998,1418400,38.388857
2015-07-01,39.330002,39.48,39.169998,39.43,1075900,38.643674
2015-07-02,39.48,39.529999,39.23,39.439999,974900,38.653473
2015-07-06,39.240002,39.669998,39.200001,39.66,1356700,38.869087
2015-07-07,39.689999,39.849998,39.439999,39.799999,1413800,39.006294
2015-07-08,39.580002,39.810001,39.509998,39.580002,1207000,38.790684
2015-07-09,39.919998,39.970001,39.48,39.48,1392400,38.692676
2015-07-10,39.84,39.849998,39.599998,39.740002,837000,38.947493
2015-07-13,40.0,40.040001,39.880001,39.98,666100,39.182705
2015-07-14,40.009998,40.41,39.98,40.349998,1008200,39.545325
2015-07-15,40.369999,40.529999,40.290001,40.41,1152500,39.60413
2015-07-16,40.59,40.919998,40.470001,40.740002,1183700,39.927551
2015-07-17,40.93,40.93,40.700001,40.759998,1055500,39.947148
2015-07-20,40.740002,40.869999,40.669998,40.799999,1054900,39.986352
2015-07-21,40.82,40.869999,40.16,40.389999,1177400,39.584528
2015-07-22,40.349998,40.59,40.09,40.23,1369800,39.427719
2015-07-23,40.060001,40.77,40.060001,40.599998,2795300,39.790339
2015-07-24,41.009998,41.630001,40.970001,41.16,2549600,40.339173
2015-07-27,41.139999,41.73,41.080002,41.529999,2350700,40.701793
2015-07-28,41.77,42.139999,41.68,42.0,2371000,41.162422
2015-07-29,42.0,42.84,41.990002,42.77,2127700,41.917066
2015-07-30,42.73,42.849998,42.540001,42.75,1727100,41.897465
2015-07-31,42.93,42.98,42.5,42.529999,1614000,41.681851
2015-08-03,42.57,42.720001,42.27,42.549999,1103500,41.701453
2015-08-04,42.490002,42.869999,42.369999,42.709999,1363400,41.858262
2015-08-05,42.970001,43.349998,42.860001,43.209999,1544900,42.34829
2015-08-06,43.189999,43.25,42.639999,42.799999,1639500,41.946467
2015-08-07,42.799999,42.950001,42.490002,42.59,1179400,41.740656
2015-08-10,42.860001,42.98,42.73,42.880001,975100,42.024873
2015-08-11,42.619999,42.959999,42.529999,42.93,1130500,42.073876
2015-08-12,42.77,42.93,42.459999,42.869999,1562400,42.015071
2015-08-13,42.740002,42.990002,42.610001,42.790001,1186800,41.936668
2015-08-14,42.84,43.189999,42.84,43.110001,1161600,42.250286
2015-08-17,42.830002,43.349998,42.580002,43.349998,783900,42.485498
2015-08-18,43.310001,43.709999,43.310001,43.509998,1248000,42.642307
2015-08-19,43.290001,43.369999,42.860001,42.950001,1625500,42.093477
2015-08-20,42.720001,43.349998,42.630001,42.970001,1853600,42.113079
2015-08-21,42.639999,42.779999,41.98,42.0,2127900,41.162422
2015-08-24,39.48,41.119999,39.48,40.130001,3894400,39.329715
2015-08-25,40.790001,41.009998,39.599998,39.66,2385400,38.869087
2015-08-26,40.580002,41.0,39.84,40.919998,2499800,40.103958
2015-08-27,41.25,41.400002,40.610001,41.290001,1549000,40.466582
2015-08-28,41.240002,41.290001,40.82,41.099998,1206800,40.280368
2015-08-31,41.0,41.130001,40.790001,40.98,1442900,40.162762
2015-09-01,40.349998,40.549999,39.830002,40.02,1683400,39.221908
2015-09-02,40.459999,40.560001,39.970001,40.459999,1229900,39.653132
2015-09-03,40.689999,41.099998,40.450001,40.75,1178600,39.93735
2015-09-04,40.369999,40.529999,39.98,40.110001,1425200,39.310113
2015-09-08,40.650002,41.029999,40.470001,40.959999,1594000,40.143161
2015-09-09,41.299999,41.400002,40.189999,40.27,1979800,39.466922
2015-09-10,40.040001,40.540001,40.009998,40.310001,1551900,39.506125
2015-09-11,40.240002,40.459999,40.080002,40.459999,1383600,39.653132
2015-09-14,40.48,40.630001,40.200001,40.380001,1243500,39.574729
2015-09-15,40.450001,40.77,40.279999,40.720001,1229700,39.907949
2015-09-16,40.689999,41.0,40.580002,40.959999,1762400,40.143161
2015-09-17,40.950001,41.240002,40.549999,40.759998,1471800,39.947148
2015-09-18,40.43,41.080002,40.32,40.689999,3171100,39.878545
2015-09-21,40.830002,41.09,40.779999,41.049999,1186200,40.231366
2015-09-22,40.57,40.810001,40.25,40.669998,1246700,39.858943
2015-09-23,40.66,40.939999,40.509998,40.889999,1692100,40.074557
2015-09-24,40.75,41.150002,40.580002,41.099998,2036500,40.280368
2015-09-25,41.470001,41.860001,41.240002,41.59,2527100,40.760598
2015-09-28,41.369999,41.470001,41.009998,41.16,2314400,40.339173
2015-09-29,40.779999,41.139999,40.049999,40.32,2397300,39.806055
2015-09-30,40.630001,41.23,40.580002,41.200001,1800900,40.67484
2015-10-01,41.209999,41.5,40.959999,41.209999,1678700,40.68471
2015-10-02,40.700001,41.509998,40.669998,41.509998,1391600,40.980886
2015-10-05,41.830002,42.110001,41.73,42.09,1359100,41.553494
2015-10-06,42.029999,42.25,41.639999,41.709999,1411200,41.178337
2015-10-07,41.849998,42.48,41.82,42.34,1553600,41.800308
2015-10-08,42.150002,43.25,42.049999,43.189999,1959000,42.639472
2015-10-09,43.169998,43.650002,43.080002,43.25,1430400,42.698708
2015-10-12,43.150002,43.619999,43.119999,43.610001,919700,43.05412
2015-10-13,43.48,43.669998,43.200001,43.240002,921200,42.688837
2015-10-14,43.240002,43.299999,42.73,42.77,769600,42.224827
2015-10-15,42.880001,43.040001,42.650002,42.950001,1048000,42.402533
2015-10-16,43.09,43.349998,42.709999,42.830002,1162200,42.284064
2015-10-19,42.709999,43.27,42.400002,43.259998,1267400,42.708579
2015-10-20,43.150002,43.529999,43.07,43.330002,1128400,42.77769
2015-10-21,43.529999,43.709999,43.099998,43.130001,912500,42.580239
2015-10-22,43.290001,43.860001,43.290001,43.619999,1559700,43.063991
2015-10-23,43.560001,43.82,43.029999,43.48,1842300,42.925776
2015-10-26,43.52,43.830002,43.380001,43.639999,1217700,43.083736
2015-10-27,43.419998,43.810001,43.259998,43.580002,1152100,43.024504
2015-10-28,43.599998,43.77,43.220001,43.689999,1276400,43.133098
2015-10-29,43.5,44.18,43.32,43.959999,1847600,43.399657
2015-10-30,43.900002,44.900002,43.509998,43.740002,3421600,43.182464
2015-11-02,43.84,44.259998,43.77,43.990002,2262000,43.429277
2015-11-03,43.790001,44.34,43.669998,43.91,1801800,43.350295
2015-11-04,43.93,44.130001,43.650002,43.73,1116900,43.172589
2015-11-05,43.860001,44.02,43.599998,43.82,1539000,43.261442
2015-11-06,43.75,44.09,43.509998,44.07,1328900,43.508256
2015-11-09,43.950001,43.990002,43.450001,43.580002,907000,43.024504
2015-11-10,43.52,43.869999,43.400002,43.799999,1257800,43.241697
2015-11-11,44.0,44.380001,43.700001,43.849998,1697400,43.291059
2015-11-12,43.630001,43.919998,43.310001,43.330002,1137800,42.77769
2015-11-13,43.16,43.330002,42.77,42.830002,1118900,42.284064
2015-11-16,42.77,43.619999,42.77,43.59,1539000,43.034374
2015-11-17,43.630001,43.689999,43.380001,43.509998,1019100,42.955392
2015-11-18,43.57,44.110001,43.400002,44.080002,1084200,43.51813
2015-11-19,44.189999,44.369999,43.860001,44.02,1059000,43.458894
2015-11-20,44.169998,44.470001,44.080002,44.439999,1010100,43.873538
2015-11-23,44.389999,44.59,43.990002,44.060001,1351500,43.498385
2015-11-24,43.810001,44.009998,43.490002,43.860001,1990900,43.300933
2015-11-25,43.990002,44.09,43.82,43.950001,1175800,43.389786
2015-11-27,44.02,44.25,43.799999,44.119999,838100,43.557618
2015-11-30,44.299999,44.349998,43.919998,43.93,3652900,43.370041
2015-12-01,44.18,44.490002,43.919998,44.310001,1881500,43.745198
2015-12-02,44.25,44.439999,44.09,44.16,1701500,43.597109
2015-12-03,44.200001,44.380001,43.310001,43.57,2349600,43.014629
2015-12-04,43.700001,44.439999,43.48,44.310001,2752900,43.745198
2015-12-07,44.18,44.310001,43.669998,43.939999,1781500,43.379912
2015-12-08,43.740002,44.459999,43.619999,44.279999,2269300,43.715578
2015-12-09,44.060001,44.52,43.700001,43.959999,1919000,43.399657
2015-12-10,44.029999,44.490002,43.77,44.139999,1608700,43.577363
2015-12-11,43.779999,43.860001,43.009998,43.220001,2112300,42.669092
2015-12-14,43.209999,43.380001,42.73,43.07,2776600,42.521002
2015-12-15,43.299999,43.91,43.169998,43.619999,2128700,43.063991
2015-12-16,43.91,44.380001,43.57,44.299999,1241700,43.735323
2015-12-17,44.439999,44.509998,43.84,43.84,1643700,43.281188
2015-12-18,43.779999,43.900002,43.459999,43.580002,2259300,43.024504
2015-12-21,43.759998,44.16,43.580002,43.849998,968100,43.291059
2015-12-22,43.880001,44.459999,43.549999,44.279999,1412200,43.715578
2015-12-23,44.41,44.66,44.360001,44.490002,963700,43.922904
2015-12-24,44.490002,44.57,44.009998,44.41,585200,43.843922
2015-12-28,44.34,44.959999,44.34,44.849998,810200,44.278312
2015-12-29,45.07,45.349998,45.029999,45.25,1001100,44.673215
2015-12-30,44.860001,45.029999,44.52,44.540001,722500,44.26574
2015-12-31,44.419998,44.57,43.990002,43.990002,929000,43.719127
2016-01-04,43.419998,43.459999,42.91,43.139999,1920200,42.874359
2016-01-05,43.110001,43.900002,43.0,43.84,2096500,43.570049
2016-01-06,43.349998,44.060001,43.169998,43.990002,2346300,43.719127
2016-01-07,43.32,44.43,43.310001,44.150002,3022600,43.878142
2016-01-08,44.299999,44.490002,43.919998,44.130001,3167300,43.858265
2016-01-11,44.18,44.630001,44.119999,44.5,2466700,44.225985
2016-01-12,44.790001,44.880001,44.220001,44.66,2310200,44.385
2016-01-13,44.669998,44.799999,43.630001,43.82,2212400,43.550172
2016-01-14,43.93,44.48,43.66,44.310001,2299000,44.037156
2016-01-15,43.48,43.700001,42.970001,43.27,2628700,43.00356
2016-01-19,43.779999,44.48,43.470001,43.75,2269300,43.480603
2016-01-20,43.200001,43.580002,41.82,42.66,3313000,42.397315
2016-01-21,42.82,43.080002,42.029999,42.200001,3289200,41.940148
2016-01-22,42.66,43.130001,42.549999,42.93,3710700,42.665653
2016-01-25,42.959999,43.0,42.310001,42.41,1841400,42.148854
2016-01-26,42.48,42.709999,42.360001,42.549999,1926900,42.287992
2016-01-27,42.59,42.68,41.91,42.220001,2302200,41.960026
2016-01-28,42.419998,42.98,42.209999,42.700001,1903800,42.43707
2016-01-29,43.0,43.75,42.91,43.700001,2792000,43.430912
2016-02-01,43.470001,44.009998,43.27,43.849998,1370200,43.579986
2016-02-02,43.48,43.849998,43.299999,43.630001,2241300,43.361343
2016-02-03,43.869999,44.169998,43.330002,44.040001,1736100,43.768819
2016-02-04,43.91,44.330002,43.849998,44.130001,1324700,43.858265
2016-02-05,44.130001,44.27,43.299999,43.580002,1723600,43.311652
2016-02-08,43.27,43.580002,42.560001,43.419998,1751500,43.152634
2016-02-09,43.07,44.200001,43.07,43.84,2364200,43.570049
2016-02-10,43.880001,44.779999,43.650002,44.290001,1624700,44.017279
2016-02-11,43.560001,44.150002,43.509998,43.82,2923000,43.550172
2016-02-12,44.0,44.799999,43.299999,44.200001,2505500,43.927833
2016-02-16,44.759998,45.450001,44.259998,45.43,2611100,45.150259
2016-02-17,45.509998,45.610001,45.099998,45.23,2397100,44.95149
2016-02-18,45.290001,45.73,44.990002,45.619999,1783700,45.339088
2016-02-19,45.650002,45.91,45.419998,45.68,2032300,45.398719
2016-02-22,45.860001,46.209999,45.799999,46.049999,1432100,45.76644
2016-02-23,46.029999,46.310001,45.84,45.959999,967300,45.676994
2016-02-24,45.630001,46.029999,45.310001,46.0,1201300,45.716749
2016-02-25,46.119999,46.25,45.709999,46.23,1560600,45.945332
2016-02-26,46.5,46.619999,46.130001,46.209999,1602200,45.925455
2016-02-29,46.169998,46.279999,45.700001,45.700001,1824600,45.418597
2016-03-01,46.009998,46.75,46.0,46.59,1531000,46.303116
2016-03-02,46.610001,47.07,46.419998,47.060001,1642600,46.770223
2016-03-03,46.869999,47.25,46.41,47.209999,1741900,46.919297
2016-03-04,47.209999,47.25,46.740002,47.09,2240100,46.800037
2016-03-07,46.849998,47.0,46.639999,46.91,1253600,46.621145
2016-03-08,46.740002,47.040001,46.220001,46.630001,1493200,46.34287
2016-03-09,46.880001,47.360001,46.799999,47.0,1566700,46.710591
2016-03-10,47.139999,47.310001,46.470001,46.93,1180500,46.641022
2016-03-11,47.369999,47.509998,47.119999,47.299999,1261100,47.008743
2016-03-14,47.080002,47.369999,46.860001,47.009998,1486100,46.720528
2016-03-15,46.68,47.580002,46.68,47.450001,1503300,47.157821
2016-03-16,47.459999,48.029999,47.220001,47.860001,1184300,47.565296
2016-03-17,47.869999,48.07,47.720001,47.990002,1587100,47.694497
2016-03-18,48.049999,48.25,47.77,48.189999,4448400,47.893262
2016-03-21,48.189999,48.27,48.0,48.169998,895000,47.873385
2016-03-22,47.880001,48.169998,47.52,47.610001,1553700,47.316836
2016-03-23,47.549999,47.939999,47.5,47.880001,1317700,47.585173
2016-03-24,47.84,48.130001,47.84,48.119999,1487300,47.823693
2016-03-28,48.27,48.48,48.07,48.310001,1100600,48.012526
2016-03-29,48.27,48.759998,48.130001,48.720001,1231100,48.420001
2016-03-30,48.52,48.700001,48.259998,48.349998,1091800,48.349998
2016-03-31,48.380001,48.459999,47.610001,47.650002,2974700,47.650002
2016-04-01,47.509998,48.290001,47.41,48.240002,1577400,48.240002
2016-04-04,47.049999,47.209999,46.18,46.27,4409600,46.27
2016-04-05,45.990002,46.52,45.700001,46.52,2868700,46.52
2016-04-06,46.560001,46.919998,45.970001,46.27,1663100,46.27
2016-04-07,46.189999,46.43,46.099998,46.240002,1324000,46.240002
2016-04-08,46.48,46.73,46.290001,46.389999,1048000,46.389999
2016-04-11,46.610001,46.759998,45.869999,45.900002,1254900,45.900002
2016-04-12,45.939999,46.049999,45.779999,45.93,1691400,45.93
2016-04-13,46.049999,46.200001,45.720001,46.009998,1787500,46.009998
2016-04-14,46.02,46.32,45.860001,45.939999,1489600,45.939999
2016-04-15,46.189999,46.41,46.029999,46.150002,1033200,46.150002
2016-04-18,46.009998,46.560001,45.919998,46.48,1436500,46.48
2016-04-19,46.560001,46.790001,46.43,46.450001,1270500,46.450001
2016-04-20,46.57,46.799999,46.16,46.18,827600,46.18
2016-04-21,46.040001,46.279999,45.610001,45.619999,1808300,45.619999
2016-04-22,45.669998,45.950001,45.560001,45.740002,1323800,45.740002
2016-04-25,45.619999,45.82,45.560001,45.759998,984500,45.759998
2016-04-26,45.889999,46.18,45.889999,46.110001,1103000,46.110001
2016-04-27,46.119999,46.529999,46.060001,46.490002,1294400,46.490002
2016-04-28,46.23,47.310001,46.23,47.25,2749600,47.25
2016-04-29,47.299999,47.52,46.75,47.07,2905500,47.07
2016-05-02,47.09,47.619999,47.049999,47.560001,2203400,47.560001
2016-05-03,47.459999,47.490002,46.790001,47.139999,2160600,47.139999
2016-05-04,46.849998,47.639999,46.790001,47.580002,1519600,47.580002
2016-05-05,47.48,47.869999,47.23,47.439999,1110000,47.439999
2016-05-06,47.400002,47.990002,47.0,47.959999,1120500,47.959999
2016-05-09,47.970001,48.459999,47.689999,48.380001,1377300,48.380001
2016-05-10,48.360001,48.709999,48.209999,48.709999,1095700,48.709999
2016-05-11,48.709999,48.790001,48.349998,48.610001,1015800,48.610001
2016-05-12,48.619999,48.950001,48.560001,48.84,775800,48.84
2016-05-13,48.790001,48.959999,48.360001,48.459999,941600,48.459999
2016-05-16,48.400002,48.790001,48.110001,48.610001,958200,48.610001
2016-05-17,48.630001,48.66,47.48,47.57,1781600,47.57
2016-05-18,47.549999,48.150002,47.34,47.669998,1425700,47.669998
2016-05-19,47.470001,47.790001,47.27,47.700001,867200,47.700001
2016-05-20,47.919998,48.119999,47.560001,47.689999,1354400,47.689999
2016-05-23,47.799999,47.799999,47.529999,47.669998,1158000,47.669998
2016-05-24,47.779999,48.290001,47.779999,48.25,893600,48.25
2016-05-25,48.400002,48.5,47.77,47.849998,1511200,47.849998
2016-05-26,47.77,48.220001,47.740002,48.209999,1068100,48.209999
2016-05-27,48.25,48.529999,48.18,48.34,696400,48.34
2016-05-31,48.400002,48.540001,48.040001,48.279999,2434000,48.279999
2016-06-01,48.220001,48.459999,47.950001,48.419998,919200,48.419998
2016-06-02,48.400002,48.709999,48.299999,48.68,1065200,48.68
2016-06-03,48.529999,48.880001,48.43,48.810001,809800,48.810001
