Date,Open_VMC,High_VMC,Low_VMC,Close_VMC,Volume_VMC,AdjClose_VMC
2015-06-05,88.339996,89.940002,88.129997,89.120003,656800,88.60113
2015-06-08,88.940002,89.449997,88.5,88.550003,754600,88.034449
2015-06-09,88.660004,89.089996,87.959999,88.080002,866700,87.567184
2015-06-10,88.760002,90.0,88.32,89.620003,896900,89.098219
2015-06-11,89.800003,90.25,89.220001,89.459999,563100,88.939147
2015-06-12,89.110001,89.440002,88.440002,88.889999,642100,88.372466
2015-06-15,88.349998,88.410004,87.529999,87.779999,726200,87.268928
2015-06-16,87.519997,87.949997,86.889999,87.790001,931600,87.278872
2015-06-17,87.949997,88.139999,86.639999,87.470001,616900,86.960735
2015-06-18,87.860001,89.019997,87.519997,88.879997,647500,88.362522
2015-06-19,88.790001,89.669998,88.790001,89.290001,870300,88.770138
2015-06-22,89.75,90.150002,89.169998,89.839996,431700,89.316932
2015-06-23,89.669998,90.190002,88.900002,89.169998,380000,88.650834
2015-06-24,89.239998,89.330002,87.209999,87.739998,599400,87.22916
2015-06-25,88.029999,88.029999,86.379997,86.580002,624900,86.075917
2015-06-26,86.889999,87.370003,86.129997,86.480003,814500,85.976501
2015-06-29,85.779999,86.43,84.120003,84.150002,645000,83.660065
2015-06-30,84.839996,85.0,83.910004,83.93,714000,83.441345
2015-07-01,84.739998,85.720001,84.309998,85.32,924200,84.823251
2015-07-02,85.769997,85.970001,84.760002,85.370003,528500,84.872963
2015-07-06,84.440002,86.389999,84.099998,85.849998,709400,85.350164
2015-07-07,85.790001,86.470001,84.150002,86.449997,1156100,85.946669
2015-07-08,85.879997,87.660004,85.110001,85.389999,883400,84.892843
2015-07-09,86.480003,87.010002,85.779999,85.919998,891500,85.419756
2015-07-10,87.089996,90.620003,86.989998,90.360001,1149300,89.833908
2015-07-13,90.629997,91.0,90.050003,90.43,732700,89.9035
2015-07-14,90.18,90.529999,89.830002,89.989998,750000,89.46606
2015-07-15,89.900002,89.970001,88.510002,89.029999,624100,88.51165
2015-07-16,89.459999,91.019997,88.959999,90.699997,1117800,90.171925
2015-07-17,90.599998,91.75,90.480003,91.669998,651800,91.136279
2015-07-20,91.779999,94.120003,91.129997,94.029999,1223200,93.482539
2015-07-21,93.870003,94.07,92.739998,93.5,764500,92.955626
2015-07-22,93.349998,95.230003,92.879997,93.889999,1065500,93.343355
2015-07-23,94.120003,94.220001,91.510002,91.889999,1004400,91.354999
2015-07-24,91.839996,91.989998,88.980003,89.790001,1105000,89.267227
2015-07-27,89.400002,89.93,87.949997,88.239998,1122800,87.726249
2015-07-28,88.620003,89.629997,87.68,89.150002,891800,88.630954
2015-07-29,89.040001,91.480003,89.040001,91.120003,844600,90.589486
2015-07-30,90.739998,91.550003,90.190002,91.5,624500,90.96727
2015-07-31,91.309998,92.160004,90.830002,91.019997,661600,90.490062
2015-08-03,91.07,91.07,89.5,89.660004,1208500,89.137987
2015-08-04,90.190002,97.239998,90.190002,96.050003,2840700,95.490782
2015-08-05,96.980003,98.0,96.010002,97.43,1482500,96.862745
2015-08-06,97.75,97.75,94.470001,95.300003,1276700,94.745149
2015-08-07,94.809998,95.449997,93.690002,94.510002,893700,93.959748
2015-08-10,95.57,96.800003,95.220001,95.980003,1180100,95.42119
2015-08-11,95.5,96.790001,94.809998,96.230003,1262200,95.669735
2015-08-12,95.75,97.339996,95.150002,97.260002,1153600,96.693737
2015-08-13,97.57,97.75,96.190002,96.889999,517300,96.325888
2015-08-14,96.879997,98.199997,96.760002,97.769997,658300,97.200762
2015-08-17,98.620003,99.040001,97.269997,98.809998,857400,98.234708
2015-08-18,98.790001,99.410004,98.349998,99.050003,712800,98.473316
2015-08-19,98.389999,98.860001,96.239998,96.800003,698300,96.236416
2015-08-20,95.900002,96.379997,93.169998,93.389999,1268000,92.846266
2015-08-21,92.5,93.050003,90.800003,91.660004,1316700,91.224027
2015-08-24,87.059998,91.919998,86.589996,88.339996,2603600,87.919812
2015-08-25,91.25,91.25,85.93,86.010002,1686500,85.6009
2015-08-26,88.0,88.120003,85.110001,87.43,1773700,87.014144
2015-08-27,88.440002,92.080002,88.129997,91.610001,2617400,91.174262
2015-08-28,91.18,92.589996,90.550003,92.419998,1412700,91.980407
2015-08-31,92.0,95.330002,91.650002,93.620003,1464600,93.174704
2015-09-01,91.199997,93.0,91.0,91.919998,1516600,91.482785
2015-09-02,92.790001,95.610001,92.120003,95.599998,1350100,95.145282
2015-09-03,96.519997,99.199997,95.260002,97.43,2390600,96.966579
2015-09-04,96.220001,96.510002,94.029999,95.309998,1319700,94.85666
2015-09-08,96.800003,98.57,96.089996,98.510002,863300,98.041444
2015-09-09,99.410004,101.0,98.470001,98.639999,1376500,98.170823
2015-09-10,98.669998,99.720001,97.889999,98.25,1275600,97.782679
2015-09-11,97.879997,99.18,97.57,99.129997,700700,98.65849
2015-09-14,99.139999,99.940002,98.370003,99.839996,1124200,99.365112
2015-09-15,100.360001,100.489998,99.660004,100.089996,1096900,99.613923
2015-09-16,100.019997,101.720001,99.860001,101.279999,900900,100.798265
2015-09-17,101.279999,102.650002,100.5,101.199997,822500,100.718644
2015-09-18,100.18,101.169998,98.370003,98.949997,1910400,98.479346
2015-09-21,99.720001,100.459999,99.110001,99.830002,819300,99.355165
2015-09-22,98.190002,98.75,96.300003,97.260002,1157500,96.79739
2015-09-23,97.489998,97.489998,92.0,93.709999,2306500,93.264272
2015-09-24,92.5,92.959999,89.32,92.330002,2265400,91.890839
2015-09-25,93.199997,93.809998,91.010002,92.019997,1358800,91.582308
2015-09-28,91.580002,91.599998,85.860001,86.660004,2178000,86.24781
2015-09-29,87.040001,88.809998,84.370003,85.150002,2072200,84.74499
2015-09-30,86.309998,89.330002,86.309998,89.199997,1730400,88.775722
2015-10-01,89.57,93.160004,89.370003,92.93,1977700,92.487983
2015-10-02,91.480003,95.610001,90.970001,95.610001,1724100,95.155236
2015-10-05,96.660004,97.989998,94.290001,95.419998,1608000,94.966138
2015-10-06,95.25,95.699997,91.489998,92.959999,1560400,92.517839
2015-10-07,93.739998,95.07,93.230003,94.449997,1476600,94.00075
2015-10-08,93.959999,96.050003,93.220001,95.489998,1000000,95.035804
2015-10-09,95.660004,96.0,94.669998,94.900002,1049100,94.448614
2015-10-12,94.919998,95.559998,94.169998,94.199997,781300,93.751939
2015-10-13,93.57,94.480003,90.900002,91.010002,1224500,90.577118
2015-10-14,90.959999,91.519997,88.879997,89.889999,2230500,89.462442
2015-10-15,90.790001,92.25,89.699997,91.489998,1972900,91.05483
2015-10-16,91.970001,92.370003,90.839996,91.419998,852400,90.985163
2015-10-19,91.089996,92.099998,88.690002,89.419998,1176500,88.994676
2015-10-20,89.230003,90.209999,88.730003,89.18,990200,88.75582
2015-10-21,90.059998,90.279999,87.400002,88.099998,1180600,87.680955
2015-10-22,88.629997,93.550003,87.839996,93.309998,1858900,92.866173
2015-10-23,93.910004,95.019997,93.300003,94.5,1304600,94.050515
2015-10-26,94.220001,94.739998,91.459999,92.0,1314200,91.562407
2015-10-27,91.0,91.720001,89.849998,91.599998,956100,91.164308
2015-10-28,92.139999,95.580002,91.559998,94.760002,842600,94.309281
2015-10-29,94.220001,95.019997,93.68,94.839996,649300,94.388895
2015-10-30,94.860001,97.589996,94.849998,96.580002,1381700,96.120624
2015-11-02,96.580002,97.580002,95.220001,96.68,1564000,96.220147
2015-11-03,97.18,97.760002,90.410004,94.790001,3929200,94.339137
2015-11-04,94.910004,97.190002,92.5,97.040001,2275400,96.578435
2015-11-05,97.220001,102.209999,96.790001,101.589996,2373600,101.106789
2015-11-06,101.360001,103.440002,100.669998,102.150002,1579500,101.66413
2015-11-09,102.339996,102.489998,99.279999,100.629997,1069900,100.151356
2015-11-10,100.190002,101.809998,99.660004,100.089996,1184900,99.613923
2015-11-11,100.690002,103.0,100.559998,101.589996,868500,101.106789
2015-11-12,100.830002,101.779999,98.889999,99.019997,787800,98.549013
2015-11-13,98.809998,101.339996,98.0,99.18,636600,98.708256
2015-11-16,99.260002,101.720001,98.610001,101.669998,1143800,101.18641
2015-11-17,102.0,102.989998,101.0,101.57,699500,101.086887
2015-11-18,101.400002,103.360001,99.620003,103.089996,950300,102.599654
2015-11-19,103.650002,105.769997,103.169998,104.75,917800,104.251762
2015-11-20,105.080002,106.0,104.75,105.699997,840800,105.29776
2015-11-23,105.779999,106.839996,104.639999,105.519997,731000,105.118445
2015-11-24,104.589996,105.720001,103.720001,104.730003,901500,104.331458
2015-11-25,104.550003,105.019997,102.940002,103.379997,644700,102.986589
2015-11-27,103.720001,104.400002,103.220001,103.989998,265300,103.594268
2015-11-30,104.0,104.440002,102.139999,102.669998,1079900,102.279292
2015-12-01,103.089996,103.82,101.769997,103.720001,1408700,103.325299
2015-12-02,103.809998,104.75,102.629997,103.059998,1141900,102.667807
2015-12-03,103.07,103.139999,97.860001,98.610001,1531600,98.234744
2015-12-04,99.139999,100.43,98.230003,99.540001,1204600,99.161206
2015-12-07,99.550003,99.550003,96.449997,97.93,1465900,97.557332
2015-12-08,96.849998,98.660004,96.339996,98.300003,862700,97.925926
2015-12-09,98.019997,98.699997,94.019997,94.720001,1374500,94.359548
2015-12-10,94.459999,96.82,92.860001,95.629997,1618300,95.266081
2015-12-11,94.459999,95.800003,93.879997,94.279999,1254900,93.92122
2015-12-14,94.5,95.349998,93.550003,94.690002,939100,94.329664
2015-12-15,95.300003,97.139999,95.300003,95.550003,853200,95.186391
2015-12-16,95.760002,98.029999,95.040001,97.550003,1031600,97.178781
2015-12-17,97.610001,97.660004,94.660004,94.699997,737000,94.33962
2015-12-18,94.080002,95.199997,93.010002,93.839996,2172900,93.482892
2015-12-21,94.379997,95.599998,93.970001,95.389999,972000,95.026997
2015-12-22,95.580002,95.82,94.660004,95.489998,693000,95.126615
2015-12-23,96.139999,97.459999,95.970001,96.849998,790500,96.48144
2015-12-24,96.860001,97.550003,96.550003,96.82,261500,96.451555
2015-12-28,96.230003,96.599998,94.690002,95.82,511000,95.455361
2015-12-29,96.93,97.400002,95.870003,96.559998,576600,96.192542
2015-12-30,96.209999,96.860001,95.239998,95.589996,455500,95.226233
2015-12-31,95.120003,96.07,94.519997,94.970001,689000,94.608597
2016-01-04,93.5,93.5,89.910004,92.419998,1571600,92.068298
2016-01-05,92.75,93.239998,92.010002,92.550003,745000,92.197808
2016-01-06,91.019997,92.519997,89.75,90.400002,1063300,90.055988
2016-01-07,88.529999,90.410004,87.75,88.300003,1953200,87.963981
2016-01-08,88.449997,89.290001,85.919998,86.25,1276200,85.921779
2016-01-11,86.980003,87.529999,84.68,85.860001,2340500,85.533264
2016-01-12,86.730003,88.18,85.660004,86.709999,2116300,86.380028
2016-01-13,86.889999,87.239998,82.900002,83.550003,1659100,83.232057
2016-01-14,83.669998,85.870003,82.559998,85.309998,2195300,84.985354
2016-01-15,82.5,84.400002,81.879997,83.839996,1109100,83.520947
2016-01-19,85.099998,85.470001,81.5,82.519997,1301600,82.20597
2016-01-20,80.910004,83.150002,78.830002,81.599998,1545400,81.289473
2016-01-21,82.089996,83.389999,80.339996,82.239998,1004000,81.927037
