Date,Open_XRX,High_XRX,Low_XRX,Close_XRX,Volume_XRX,AdjClose_XRX
2015-06-05,11.3,11.34,11.15,11.26,6087800,10.956998
2015-06-08,11.25,11.3,11.04,11.05,8096000,10.752649
2015-06-09,11.08,11.11,10.93,11.03,8397300,10.733186
2015-06-10,11.09,11.33,11.06,11.26,7024400,10.956998
2015-06-11,11.33,11.48,11.31,11.37,7137300,11.064037
2015-06-12,11.31,11.36,11.14,11.17,6487400,10.869419
2015-06-15,11.05,11.15,10.99,11.05,5548100,10.752649
2015-06-16,11.05,11.1,10.99,11.04,9121200,10.742917
2015-06-17,11.07,11.18,11.05,11.11,6249100,10.811033
2015-06-18,11.14,11.24,11.1,11.14,6554200,10.840227
2015-06-19,11.12,11.2,11.03,11.09,13939800,10.791572
2015-06-22,11.15,11.19,11.09,11.13,7212100,10.830496
2015-06-23,11.18,11.27,11.13,11.25,6361300,10.947266
2015-06-24,11.23,11.24,10.99,10.99,8255900,10.694263
2015-06-25,11.02,11.09,10.99,11.01,10315400,10.713725
2015-06-26,10.96,11.02,10.92,10.98,8720000,10.752897
2015-06-29,10.88,10.96,10.76,10.78,9467300,10.557034
2015-06-30,10.84,10.9,10.64,10.64,10112400,10.41993
2015-07-01,10.71,10.74,10.65,10.68,8394600,10.459103
2015-07-02,10.74,10.74,10.44,10.56,12758500,10.341585
2015-07-06,10.45,10.58,10.4,10.53,8797700,10.312205
2015-07-07,10.41,10.61,10.37,10.58,11375500,10.361171
2015-07-08,10.5,10.58,10.25,10.27,13042000,10.057583
2015-07-09,10.41,10.48,10.24,10.24,18164800,10.028203
2015-07-10,10.41,10.42,10.29,10.38,12361000,10.165308
2015-07-13,10.43,10.51,10.39,10.49,9801100,10.273032
2015-07-14,10.49,10.55,10.47,10.53,8350800,10.312205
2015-07-15,10.54,10.58,10.42,10.44,7082000,10.224066
2015-07-16,10.5,10.66,10.49,10.61,13077800,10.39055
2015-07-17,10.55,10.85,10.52,10.83,19186700,10.606
2015-07-20,10.88,11.0,10.8,10.91,18915700,10.684345
2015-07-21,10.89,10.99,10.47,10.59,21504300,10.370964
2015-07-22,10.58,10.74,10.56,10.7,11289100,10.478689
2015-07-23,10.7,10.92,10.66,10.81,15827400,10.586414
2015-07-24,10.68,11.2,10.5,10.94,27875300,10.713724
2015-07-27,10.87,10.91,10.58,10.62,22540200,10.400343
2015-07-28,10.66,10.72,10.49,10.66,11990800,10.439516
2015-07-29,10.7,10.8,10.63,10.76,9614200,10.537448
2015-07-30,10.73,10.78,10.65,10.77,9697000,10.547241
2015-07-31,10.85,11.05,10.72,11.02,15671600,10.792071
2015-08-03,11.04,11.05,10.9,10.94,15481000,10.713724
2015-08-04,10.95,11.1,10.91,11.0,10935700,10.772484
2015-08-05,11.08,11.16,10.99,10.99,10960400,10.76269
2015-08-06,11.0,11.13,10.97,10.97,9568900,10.743105
2015-08-07,10.93,10.99,10.79,10.88,10532900,10.654966
2015-08-10,10.96,11.32,10.94,11.27,9442800,11.0369
2015-08-11,11.18,11.25,11.0,11.08,10928900,10.850829
2015-08-12,11.0,11.07,10.84,11.01,9337900,10.782277
2015-08-13,11.01,11.07,10.89,10.95,6575900,10.723518
2015-08-14,10.93,11.08,10.89,11.05,8236800,10.82145
2015-08-17,11.04,11.45,10.99,11.37,12601400,11.134831
2015-08-18,11.42,11.46,11.25,11.32,7670100,11.085865
2015-08-19,11.28,11.33,11.18,11.24,9710800,11.00752
2015-08-20,11.14,11.23,11.01,11.03,11430700,10.801863
2015-08-21,10.94,11.13,10.66,10.69,19650300,10.468895
2015-08-24,10.04,10.38,9.76,9.93,31964100,9.724615
2015-08-25,10.28,10.29,9.66,9.66,16869200,9.460199
2015-08-26,9.9,9.99,9.62,9.96,14709500,9.753994
2015-08-27,10.05,10.26,9.99,10.23,15458600,10.01841
2015-08-28,10.16,10.37,10.13,10.31,10831000,10.096756
2015-08-31,10.26,10.4,10.13,10.17,17311400,9.959651
2015-09-01,9.92,10.05,9.73,9.78,15445300,9.577717
2015-09-02,9.96,9.97,9.78,9.97,12796600,9.763788
2015-09-03,9.98,10.17,9.98,10.02,19731700,9.812754
2015-09-04,9.91,10.0,9.86,9.91,10229000,9.705028
2015-09-08,10.09,10.45,10.05,10.42,13545700,10.20448
2015-09-09,10.55,10.59,10.22,10.23,13464200,10.01841
2015-09-10,10.24,10.38,10.19,10.31,10448900,10.096756
2015-09-11,10.24,10.44,10.22,10.43,9059300,10.214274
2015-09-14,10.44,10.45,10.27,10.32,8397500,10.106548
2015-09-15,10.37,10.63,10.33,10.58,9782300,10.361171
2015-09-16,10.58,10.73,10.55,10.62,10288100,10.400343
2015-09-17,10.59,10.78,10.55,10.58,9012500,10.361171
2015-09-18,10.39,10.52,10.25,10.35,23703300,10.135928
2015-09-21,10.4,10.51,10.29,10.51,12606700,10.292619
2015-09-22,10.36,10.4,10.28,10.33,9090600,10.116342
2015-09-23,10.33,10.34,10.16,10.18,8210500,9.969444
2015-09-24,10.09,10.18,9.96,10.1,8283900,9.891099
2015-09-25,10.22,10.25,9.97,10.08,10012400,9.871512
2015-09-28,9.97,10.03,9.6,9.64,11139700,9.506631
2015-09-29,9.65,9.72,9.46,9.49,12343100,9.358706
2015-09-30,9.62,9.75,9.52,9.73,11087700,9.595385
2015-10-01,9.71,9.78,9.5,9.64,11175500,9.506631
2015-10-02,9.5,9.86,9.45,9.85,9357000,9.713726
2015-10-05,9.93,10.0,9.77,9.97,12539800,9.832066
2015-10-06,9.98,10.06,9.9,9.98,10694100,9.841927
2015-10-07,10.06,10.36,9.99,10.35,19453200,10.206809
2015-10-08,10.36,10.59,10.34,10.53,10203600,10.384318
2015-10-09,10.53,10.64,10.49,10.55,11029800,10.404041
2015-10-12,10.56,10.61,10.39,10.46,8669000,10.315286
2015-10-13,10.41,10.53,10.35,10.41,7509200,10.265978
2015-10-14,10.4,10.43,10.11,10.13,16702000,9.989852
2015-10-15,10.1,10.34,10.03,10.3,35494100,10.1575
2015-10-16,10.34,10.35,10.1,10.2,15649100,10.058883
2015-10-19,10.16,10.21,10.11,10.19,12081100,10.049021
2015-10-20,10.15,10.39,10.13,10.23,8860200,10.088468
2015-10-21,10.26,10.31,10.13,10.16,12287300,10.019437
2015-10-22,10.19,10.34,10.15,10.29,9322100,10.147638
2015-10-23,10.36,10.49,10.27,10.34,15416800,10.196947
2015-10-26,10.43,10.6,9.93,10.03,22450800,9.891235
2015-10-27,9.94,10.0,9.2,9.29,31630400,9.161473
2015-10-28,9.33,9.51,9.21,9.36,18674900,9.230504
2015-10-29,9.32,9.35,9.17,9.34,11006200,9.210782
2015-10-30,9.42,9.49,9.26,9.39,13065500,9.26009
2015-11-02,9.43,9.77,9.39,9.69,22017800,9.555939
2015-11-03,9.69,9.85,9.65,9.74,10012400,9.605247
2015-11-04,9.75,9.77,9.6,9.64,6565200,9.506631
2015-11-05,9.64,9.73,9.53,9.63,6363600,9.49677
2015-11-06,9.58,9.75,9.51,9.75,13180400,9.615109
2015-11-09,9.74,9.76,9.61,9.68,9402400,9.546078
