Date,Open_XYL,High_XYL,Low_XYL,Close_XYL,Volume_XYL,AdjClose_XYL
2015-06-05,36.209999,36.41,36.080002,36.380001,723900,35.803859
2015-06-08,36.360001,36.509998,36.07,36.139999,453100,35.567658
2015-06-09,36.209999,36.389999,36.040001,36.099998,292700,35.528291
2015-06-10,36.310001,36.639999,36.23,36.52,648300,35.941641
2015-06-11,36.549999,36.990002,36.439999,36.91,725500,36.325464
2015-06-12,36.810001,36.900002,36.43,36.540001,443700,35.961325
2015-06-15,36.360001,36.43,36.049999,36.119999,575600,35.547975
2015-06-16,36.240002,36.560001,36.0,36.450001,750000,35.87275
2015-06-17,36.580002,36.84,36.23,36.380001,814500,35.803859
2015-06-18,36.509998,37.119999,36.389999,36.900002,841100,36.315624
2015-06-19,36.830002,36.830002,36.400002,36.439999,1299100,35.862907
2015-06-22,36.950001,37.07,36.57,37.0,981600,36.414039
2015-06-23,36.970001,37.700001,36.959999,37.299999,1732500,36.709288
2015-06-24,37.200001,37.34,37.07,37.25,1060600,36.66008
2015-06-25,37.240002,37.34,36.889999,36.959999,863100,36.374672
2015-06-26,37.029999,37.18,36.880001,36.939999,3002800,36.354988
2015-06-29,36.700001,36.75,36.25,36.259998,987600,35.685757
2015-06-30,36.77,37.349998,36.529999,37.07,2068400,36.48293
2015-07-01,37.32,37.32,36.689999,36.810001,1183300,36.22705
2015-07-02,36.889999,37.009998,36.52,36.73,698300,36.148315
2015-07-06,36.330002,36.490002,36.040001,36.25,938100,35.675917
2015-07-07,36.240002,36.41,35.619999,36.380001,863100,35.803859
2015-07-08,36.099998,36.27,35.459999,35.57,657400,35.006686
2015-07-09,36.009998,36.25,35.540001,35.540001,668600,34.977162
2015-07-10,35.91,35.950001,35.349998,35.389999,1670300,34.829536
2015-07-13,35.700001,36.09,35.52,36.060001,920400,35.488927
2015-07-14,36.040001,36.709999,35.75,36.490002,1899000,35.912118
2015-07-15,36.459999,36.580002,35.900002,35.950001,611400,35.380669
2015-07-16,36.220001,36.380001,35.799999,36.02,562000,35.44956
2015-07-17,35.919998,36.029999,35.689999,35.810001,514800,35.242886
2015-07-20,35.82,35.93,35.709999,35.77,556300,35.203519
2015-07-21,35.700001,35.709999,35.09,35.189999,951200,34.632703
2015-07-22,35.0,35.200001,34.860001,34.98,968700,34.426029
2015-07-23,34.970001,35.130001,34.57,34.669998,1125100,34.120937
2015-07-24,34.610001,34.68,34.490002,34.630001,1121900,34.081574
2015-07-27,34.32,34.490002,34.25,34.400002,1366600,33.855216
2015-07-28,34.560001,34.939999,34.5,34.779999,1400100,34.229196
2015-07-29,34.759998,35.32,34.639999,35.23,886300,34.67207
2015-07-30,34.91,35.66,34.73,35.220001,1029300,34.66223
2015-07-31,35.259998,35.459999,34.34,34.529999,1142500,33.983155
2015-08-03,34.5,34.5,33.599998,33.849998,1104500,33.313924
2015-08-04,33.880001,34.18,33.66,33.740002,1043200,33.205669
2015-08-05,33.98,34.299999,33.650002,33.889999,1276700,33.353291
2015-08-06,33.950001,34.130001,33.57,33.68,1507800,33.146618
2015-08-07,33.639999,33.860001,33.380001,33.5,887700,32.969468
2015-08-10,33.82,34.16,33.720001,34.09,1165600,33.550124
2015-08-11,33.720001,33.82,33.48,33.580002,1099300,33.048203
2015-08-12,33.32,33.740002,33.18,33.66,975800,33.126934
2015-08-13,33.619999,33.720001,33.419998,33.490002,1368500,32.959628
2015-08-14,33.619999,33.77,33.279999,33.700001,1194900,33.166301
2015-08-17,33.549999,33.790001,33.330002,33.77,1057500,33.235193
2015-08-18,33.779999,33.799999,33.380001,33.41,995700,32.880893
2015-08-19,33.23,33.360001,32.93,33.150002,692600,32.625012
2015-08-20,32.84,33.119999,32.650002,32.66,1047000,32.142771
2015-08-21,32.48,32.580002,32.049999,32.07,1535200,31.562114
2015-08-24,30.49,31.92,29.9,30.91,2479100,30.420485
2015-08-25,31.93,31.98,30.43,30.459999,2221500,29.977611
2015-08-26,31.0,31.440001,30.780001,31.379999,2430400,30.883041
2015-08-27,31.77,32.400002,31.610001,32.369999,1697100,31.857363
2015-08-28,32.240002,32.790001,32.16,32.700001,1874000,32.182138
2015-08-31,32.43,32.68,32.049999,32.450001,1032800,32.074398
2015-09-01,31.76,32.029999,30.98,31.129999,973000,30.769675
2015-09-02,31.6,31.82,31.200001,31.379999,1913200,31.016782
2015-09-03,31.82,32.610001,31.82,32.349998,1931300,31.975554
2015-09-04,31.889999,32.240002,31.66,31.68,1702200,31.31331
2015-09-08,32.259998,32.540001,32.119999,32.439999,1398100,32.064512
2015-09-09,32.82,32.889999,32.049999,32.110001,1337400,31.738334
2015-09-10,31.99,32.419998,31.83,32.130001,1398900,31.758103
2015-09-11,32.040001,32.490002,31.889999,32.490002,1463900,32.113936
2015-09-14,32.450001,32.48,32.02,32.220001,1258400,31.847061
2015-09-15,32.389999,33.130001,32.23,33.029999,1870300,32.647683
2015-09-16,33.0,33.439999,32.959999,33.369999,1089400,32.983748
2015-09-17,33.32,33.560001,32.98,33.080002,1461500,32.697107
2015-09-18,32.560001,32.68,32.169998,32.25,1512700,31.876713
2015-09-21,32.450001,33.0,32.130001,32.630001,1905700,32.252315
2015-09-22,32.16,32.5,32.009998,32.400002,1333500,32.024978
2015-09-23,32.470001,32.66,31.76,31.780001,1046900,31.412153
2015-09-24,31.6,32.73,31.27,32.52,2303600,32.143588
2015-09-25,32.650002,32.779999,32.32,32.470001,2088300,32.094167
2015-09-28,32.060001,32.27,31.950001,32.07,2123200,31.698796
2015-09-29,32.209999,32.439999,31.9,31.99,1344100,31.619722
2015-09-30,32.220001,32.950001,32.029999,32.849998,1708500,32.469766
2015-10-01,32.880001,33.200001,32.419998,32.689999,1498600,32.311618
2015-10-02,32.25,33.540001,32.16,33.509998,1451100,33.122127
2015-10-05,33.580002,33.84,33.360001,33.560001,2376800,33.171551
2015-10-06,33.509998,33.84,33.360001,33.389999,1679200,33.003517
2015-10-07,33.59,34.189999,33.380001,34.040001,1669800,33.645995
2015-10-08,33.939999,35.240002,33.880001,34.990002,1770100,34.584999
2015-10-09,35.080002,35.349998,34.709999,34.889999,1946200,34.486154
2015-10-12,34.849998,34.959999,34.610001,34.639999,1003200,34.239048
2015-10-13,34.330002,34.849998,34.220001,34.330002,1806700,33.932639
2015-10-14,34.290001,34.5,33.82,33.869999,1424500,33.47796
2015-10-15,33.939999,34.82,33.669998,34.740002,1909200,34.337893
2015-10-16,34.689999,34.77,34.009998,34.740002,2124400,34.337893
2015-10-19,34.509998,34.669998,34.23,34.639999,1297500,34.239048
2015-10-20,34.560001,35.18,34.41,34.880001,1210700,34.476272
2015-10-21,34.970001,35.240002,34.639999,34.720001,1396900,34.318124
2015-10-22,34.860001,35.830002,34.860001,35.619999,1415100,35.207704
2015-10-23,35.900002,36.220001,35.759998,36.189999,1524600,35.771106
2015-10-26,36.139999,36.310001,35.639999,35.91,1340600,35.494349
2015-10-27,35.57,35.959999,35.279999,35.849998,2315800,35.435042
2015-10-28,35.970001,36.599998,35.700001,36.380001,1557300,35.95891
2015-10-29,35.82,36.740002,35.82,36.34,1769300,35.919372
2015-10-30,36.509998,36.779999,36.07,36.41,1865100,35.988561
2015-11-02,36.349998,36.82,36.18,36.650002,974100,36.366618
2015-11-03,36.650002,36.91,36.400002,36.580002,1658900,36.29716
2015-11-04,36.599998,36.900002,36.470001,36.650002,1008600,36.366618
2015-11-05,36.599998,36.939999,36.310001,36.790001,889400,36.505535
2015-11-06,36.66,36.919998,36.389999,36.919998,843400,36.634527
2015-11-09,36.790001,36.919998,36.310001,36.450001,905600,36.168164
2015-11-10,36.34,36.93,36.240002,36.93,958800,36.644452
2015-11-11,37.0,37.259998,36.93,36.970001,780300,36.684144
2015-11-12,36.529999,36.75,35.740002,35.799999,1542200,35.523188
2015-11-13,35.82,36.27,35.68,35.889999,937800,35.612492
2015-11-16,35.799999,36.689999,35.740002,36.599998,1467900,36.317002
2015-11-17,36.66,37.139999,36.459999,37.0,1600500,36.71391
2015-11-18,37.150002,37.5,37.009998,37.459999,1775200,37.170353
2015-11-19,37.419998,37.77,37.09,37.669998,1137400,37.378728
2015-11-20,37.830002,38.0,37.450001,37.5,1300900,37.210044
2015-11-23,37.560001,37.849998,37.400002,37.549999,870600,37.259657
2015-11-24,37.259998,37.610001,37.099998,37.48,1044000,37.190198
2015-11-25,37.490002,37.860001,37.380001,37.66,916200,37.368807
2015-11-27,37.529999,37.619999,37.279999,37.580002,514200,37.289428
2015-11-30,37.580002,37.709999,37.25,37.32,1470200,37.031436
2015-12-01,37.369999,37.759998,37.32,37.639999,756900,37.348961
2015-12-02,37.450001,37.580002,36.869999,36.950001,615600,36.664298
2015-12-03,37.040001,37.189999,36.43,36.740002,734800,36.455922
2015-12-04,36.779999,37.689999,36.779999,37.650002,1247300,37.358886
2015-12-07,37.419998,37.560001,36.779999,36.91,638100,36.624606
2015-12-08,36.470001,36.650002,36.200001,36.279999,785200,35.999476
2015-12-09,36.099998,36.799999,35.93,36.259998,1154600,35.97963
2015-12-10,36.139999,36.970001,36.139999,36.700001,1188600,36.416231
2015-12-11,36.200001,36.77,36.130001,36.220001,1499800,35.939943
2015-12-14,36.27,36.669998,36.189999,36.639999,1344400,36.356693
2015-12-15,36.889999,37.07,36.650002,36.700001,1368000,36.416231
2015-12-16,36.93,37.630001,36.799999,37.459999,1227000,37.170353
2015-12-17,37.419998,37.630001,36.450001,36.459999,1178500,36.178085
2015-12-18,36.259998,36.310001,35.810001,35.84,1973700,35.56288
2015-12-21,36.130001,36.310001,35.880001,36.139999,662300,35.860559
2015-12-22,36.310001,36.529999,36.029999,36.5,804400,36.217776
2015-12-23,36.73,37.279999,36.66,37.130001,667300,36.842906
2015-12-24,37.080002,37.259998,36.959999,37.07,294200,36.783369
2015-12-28,36.970001,36.990002,36.669998,36.939999,630100,36.654373
2015-12-29,37.200001,37.459999,36.98,37.099998,780500,36.813136
2015-12-30,37.099998,37.220001,36.849998,36.869999,439500,36.584914
2015-12-31,36.669998,36.84,36.450001,36.5,635100,36.217776
2016-01-04,35.919998,36.189999,35.599998,36.080002,1353400,35.801026
2016-01-05,36.060001,36.200001,35.509998,36.07,1075400,35.791101
2016-01-06,36.43,36.610001,35.220001,35.619999,1866000,35.34458
2016-01-07,35.169998,35.27,34.490002,34.700001,1555400,34.431695
2016-01-08,34.869999,35.029999,34.279999,34.369999,1471500,34.104245
2016-01-11,34.509998,34.57,33.689999,34.080002,852900,33.81649
2016-01-12,34.349998,34.549999,33.860001,34.27,781000,34.00502
2016-01-13,34.389999,34.509998,33.32,33.380001,1228500,33.121902
2016-01-14,33.5,33.77,33.110001,33.57,1482400,33.310431
2016-01-15,32.73,33.099998,32.610001,32.98,1260300,32.724993
2016-01-19,33.470001,33.529999,32.610001,32.959999,1068500,32.705147
2016-01-20,32.439999,33.099998,31.67,32.799999,1489200,32.546385
2016-01-21,32.970001,33.57,32.650002,33.23,1444200,32.97306
2016-01-22,33.790001,34.119999,33.470001,34.029999,827500,33.766874
2016-01-25,33.91,33.990002,33.509998,33.740002,1133900,33.479119
2016-01-26,33.990002,34.669998,33.790001,34.549999,1841100,34.282853
2016-01-27,34.540001,35.860001,34.380001,34.889999,1987600,34.620225
2016-01-28,35.23,35.360001,34.740002,34.950001,1523800,34.679762
2016-01-29,35.139999,35.950001,35.049999,35.950001,1827000,35.67203
2016-02-01,35.639999,35.93,35.110001,35.619999,1269000,35.34458
2016-02-02,35.080002,35.139999,34.57,34.860001,1256100,34.590458
2016-02-03,35.299999,35.849998,34.709999,35.669998,1946400,35.394192
2016-02-04,36.060001,38.080002,35.470001,37.080002,3974600,36.793294
2016-02-05,37.060001,37.459999,36.25,36.66,2398900,36.376539
2016-02-08,36.220001,36.490002,35.77,36.220001,2206400,35.939943
2016-02-09,35.970001,37.049999,35.779999,36.709999,2051000,36.426152
2016-02-10,36.84,37.07,36.389999,36.43,1574000,36.148318
2016-02-11,35.900002,36.48,35.439999,36.209999,1750300,35.930018
2016-02-12,36.66,37.200001,36.48,37.040001,1581100,36.753602
2016-02-16,37.380001,37.490002,36.689999,37.0,2144300,36.868192
2016-02-17,37.330002,37.849998,37.060001,37.66,2219200,37.52584
2016-02-18,37.740002,37.889999,37.259998,37.529999,1377100,37.396302
2016-02-19,37.290001,37.290001,36.419998,37.029999,5043300,36.898083
2016-02-22,37.459999,37.869999,37.369999,37.639999,1500100,37.505911
2016-02-23,37.509998,37.740002,37.23,37.32,1144000,37.187051
2016-02-24,37.0,37.5,36.830002,37.470001,1360400,37.336518
2016-02-25,37.57,37.630001,37.310001,37.560001,1504100,37.426198
2016-02-26,37.73,37.849998,37.540001,37.720001,1830000,37.585628
2016-02-29,37.77,37.860001,37.41,37.41,1219000,37.276731
2016-03-01,37.709999,38.040001,37.450001,37.939999,1430700,37.804842
2016-03-02,37.790001,38.040001,37.59,38.029999,1859100,37.894521
2016-03-03,38.040001,38.169998,37.860001,38.169998,1168500,38.034022
2016-03-04,38.07,38.330002,37.990002,38.220001,1494600,38.083847
2016-03-07,38.09,38.549999,38.09,38.549999,1345700,38.412669
2016-03-08,38.34,38.529999,37.84,37.91,1112800,37.77495
2016-03-09,38.080002,38.209999,37.880001,38.150002,1458400,38.014096
2016-03-10,38.009998,38.279999,37.580002,37.919998,1031500,37.784912
2016-03-11,38.200001,38.48,38.0,38.450001,1691500,38.313027
2016-03-14,38.209999,38.450001,38.060001,38.07,1198800,37.934379
2016-03-15,37.709999,38.240002,37.580002,38.139999,1307800,38.00413
2016-03-16,37.959999,38.799999,37.689999,38.630001,1391900,38.492386
2016-03-17,38.740002,39.209999,38.66,39.009998,1452300,38.871029
2016-03-18,38.990002,39.66,38.970001,39.470001,2879300,39.329394
2016-03-21,39.060001,39.459999,38.950001,39.419998,1351300,39.279569
2016-03-22,39.16,39.580002,39.099998,39.400002,914200,39.259643
2016-03-23,39.209999,39.529999,38.93,39.369999,1255300,39.229748
2016-03-24,39.040001,39.82,39.009998,39.82,1786500,39.678145
2016-03-28,39.82,39.98,39.66,39.900002,980100,39.757862
2016-03-29,39.919998,40.66,39.860001,40.639999,1451800,40.495224
2016-03-30,41.0,41.209999,40.720001,41.040001,1385000,40.8938
2016-03-31,41.009998,41.060001,40.619999,40.900002,1696700,40.7543
2016-04-01,40.639999,41.330002,40.470001,41.25,1295100,41.103051
2016-04-04,41.110001,41.16,40.610001,40.779999,1231700,40.634724
2016-04-05,41.209999,41.459999,40.68,41.009998,1412600,40.863905
2016-04-06,41.040001,41.200001,40.540001,41.189999,1193600,41.043264
2016-04-07,40.990002,41.0,40.599998,40.889999,1133800,40.744333
2016-04-08,41.290001,41.52,41.0,41.220001,918200,41.073159
2016-04-11,41.119999,41.490002,40.759998,41.23,1415100,41.083122
2016-04-12,41.369999,41.93,41.310001,41.650002,1253500,41.501628
2016-04-13,41.75,41.900002,41.540001,41.84,1100600,41.69095
2016-04-14,42.02,42.240002,41.73,41.990002,1125400,41.840417
2016-04-15,41.990002,42.299999,41.700001,42.279999,1217300,42.129381
2016-04-18,42.25,42.650002,42.029999,42.610001,1334400,42.458207
2016-04-19,42.75,42.959999,42.560001,42.709999,880600,42.557849
2016-04-20,42.709999,42.810001,42.16,42.169998,1036300,42.019772
2016-04-21,42.169998,42.220001,41.720001,41.84,1407700,41.69095
2016-04-22,41.959999,42.490002,41.830002,42.459999,1893700,42.30874
2016-04-25,42.290001,42.509998,42.02,42.209999,1100600,42.059631
2016-04-26,42.470001,43.040001,42.419998,42.860001,1943600,42.707317
2016-04-27,42.84,43.02,42.549999,42.900002,1081800,42.747175
2016-04-28,42.580002,42.73,42.02,42.169998,1135100,42.019772
2016-04-29,42.16,42.16,41.650002,41.779999,1795300,41.631162
2016-05-02,41.849998,42.48,41.82,42.25,1727700,42.099489
2016-05-03,41.919998,42.27,41.110001,41.880001,1773500,41.730808
2016-05-04,41.759998,41.759998,40.950001,41.25,1424900,41.103051
2016-05-05,41.599998,41.77,41.25,41.529999,1660800,41.382053
2016-05-06,41.43,41.939999,41.25,41.889999,1122400,41.740771
2016-05-09,41.830002,41.830002,41.509998,41.599998,545100,41.451803
2016-05-10,41.709999,42.540001,41.669998,42.529999,1238600,42.37849
2016-05-11,42.560001,42.990002,42.529999,42.880001,1436000,42.727246
2016-05-12,43.0,43.279999,42.669998,43.240002,1144400,43.085964
2016-05-13,43.23,43.41,42.889999,43.150002,1417200,42.996284
2016-05-16,43.25,43.689999,43.220001,43.43,1050200,43.275286
2016-05-17,43.330002,43.869999,43.220001,43.48,1679800,43.325107
2016-05-18,43.290001,43.66,43.02,43.259998,1441000,43.105889
2016-05-19,42.900002,43.130001,42.709999,43.07,899300,42.916568
2016-05-20,43.349998,43.77,43.189999,43.509998,1695300,43.354999
2016-05-23,43.349998,43.580002,43.07,43.5,713400,43.5
2016-05-24,43.619999,44.5,43.509998,44.459999,1351300,44.459999
2016-05-25,44.75,44.860001,44.48,44.720001,1340400,44.720001
2016-05-26,44.82,45.0,44.57,44.740002,762800,44.740002
2016-05-27,44.740002,44.849998,44.48,44.57,1141500,44.57
2016-05-31,44.700001,44.799999,44.400002,44.66,1256400,44.66
2016-06-01,44.32,44.82,44.209999,44.82,995300,44.82
2016-06-02,44.720001,45.209999,44.68,45.209999,1007100,45.209999
2016-06-03,45.209999,45.540001,44.970001,45.48,1278000,45.48
