Date,Open_ZION,High_ZION,Low_ZION,Close_ZION,Volume_ZION,AdjClose_ZION
2015-06-05,31.23,32.150002,31.0,31.84,6932000,31.549485
2015-06-08,31.84,32.130001,31.65,31.809999,3708100,31.519758
2015-06-09,31.940001,32.240002,31.780001,31.860001,2852700,31.569303
2015-06-10,32.209999,32.66,32.02,32.41,4370500,32.114284
2015-06-11,32.360001,32.529999,31.85,31.940001,3543900,31.648573
2015-06-12,31.870001,31.98,31.690001,31.950001,2367500,31.658482
2015-06-15,31.66,32.299999,31.51,32.119999,2204100,31.826929
2015-06-16,31.99,32.599998,31.950001,32.259998,2506800,31.965651
2015-06-17,32.419998,32.560001,31.809999,31.91,2303800,31.618846
2015-06-18,31.91,32.150002,31.530001,32.02,3032000,31.727843
2015-06-19,31.950001,32.209999,31.27,31.530001,5204200,31.242314
2015-06-22,31.790001,32.110001,31.549999,32.09,2676000,31.797204
2015-06-23,32.200001,32.490002,32.009998,32.389999,1488900,32.094466
2015-06-24,32.330002,32.549999,32.16,32.18,1285400,31.886383
2015-06-25,32.369999,32.599998,32.099998,32.209999,1716000,31.916108
2015-06-26,33.029999,33.029999,32.369999,32.490002,2812200,32.193556
2015-06-29,31.860001,32.25,31.5,31.52,2136500,31.232405
2015-06-30,31.950001,32.349998,31.6,31.74,2058400,31.450397
2015-07-01,32.029999,32.189999,31.75,31.950001,2668700,31.658482
2015-07-02,31.879999,31.879999,31.129999,31.5,2689100,31.212587
2015-07-06,30.99,31.24,30.790001,31.190001,2936700,30.905416
2015-07-07,31.139999,31.24,30.02,30.540001,4946400,30.261347
2015-07-08,30.360001,30.360001,29.65,29.75,4686400,29.478554
2015-07-09,30.280001,30.52,30.059999,30.41,3207400,30.132532
2015-07-10,30.65,31.110001,30.5,31.030001,3163400,30.746876
2015-07-13,31.26,31.52,31.15,31.309999,1934400,31.02432
2015-07-14,30.940001,31.299999,30.68,31.120001,4200100,30.836055
2015-07-15,31.26,31.559999,30.700001,31.51,2421600,31.222496
2015-07-16,31.799999,31.950001,31.5,31.52,2633900,31.232405
2015-07-17,31.379999,31.379999,30.32,30.43,5628300,30.15235
2015-07-20,30.67,30.98,30.23,30.57,3785800,30.291072
2015-07-21,31.41,31.91,31.1,31.49,8118900,31.202678
